Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,179,1691,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,178,1708,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,175,1728,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,187,1739,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,39809,0.9143307404748705,0.9464344132994365,189,1890,1890,1.0,0.9498951639698427,0.7544706289735529,0.754470628973553
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,39845,0.8784775586961118,0.9196609337273126,189,1890,1890,1.0,0.9534677682731193,0.7254362747079605,0.72543627470796
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,39848,0.8820493586146764,0.919843633539484,188,1880,1880,1.0,0.9507844334518317,0.726684584602675,0.7266845846026757
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,39924,0.9023590755740041,0.9404683304871425,188,1880,1880,1.0,0.9510474089628205,0.7384439205525686,0.7384439205525677
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,192,1823,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,39324,0.8952563836411409,0.9346339669856022,189,1890,1890,1.0,0.9497770693704011,0.7370721319841683,0.7370721319841682
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,39316,0.9032826703437258,0.9411111309870408,188,1880,1880,1.0,0.9431325421525458,0.7455531633250086,0.7455531633250085
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,39466,0.918819068052129,0.9572724874248998,188,1880,1880,1.0,0.9467925088205784,0.7573110464298346,0.757311046429835
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,38966,0.9277289497979273,0.9652329079595421,189,1890,1890,1.0,0.9491132652708933,0.7596635973542555,0.7596635973542556
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,1,30028,0.9361027128113975,0.9692534894158054,189,1890,1890,1.0,0.9430132006100844,0.7719358660785759,0.7719358660785757
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,29959,0.9509906559840695,0.9885430600539481,189,1890,1890,1.0,0.9458859848584534,0.7801110152460756,0.7801110152460751
