579,216,5.0,880952299
579,4,2.0,880952271
579,56,3.0,880952360
579,65,3.0,880951944
579,1047,3.0,880952579
579,211,3.0,880952476
579,428,4.0,880952335
579,186,3.0,880952237
579,204,3.0,880952201
579,238,3.0,880952201
579,845,4.0,880952549
579,676,3.0,880951784
579,294,4.0,880951494
579,520,4.0,880951708
579,435,5.0,880952038
579,210,3.0,880951944
579,234,3.0,880951708
579,381,3.0,880952360
579,1446,2.0,880952165
579,269,3.0,880951346
579,286,4.0,880951444
579,194,5.0,880952271
579,98,4.0,880951804
579,258,5.0,880951444
579,326,3.0,880951494
579,603,5.0,880952006
579,183,4.0,880952038
579,288,4.0,880951346
579,88,4.0,880952440
579,70,3.0,880952299
579,289,2.0,880951569
579,393,4.0,880952409
579,331,3.0,880951346
579,382,3.0,880952237
579,528,4.0,880951708
579,179,3.0,880952038
579,111,4.0,880952142
579,202,5.0,880952270
579,49,3.0,880952360
579,433,3.0,880952237
579,7,3.0,880952006
579,732,4.0,880952335
579,655,3.0,880952201
579,82,3.0,880951783
579,582,4.0,880952102
579,209,4.0,880951944
579,268,3.0,880951444
579,333,4.0,880951372
579,89,3.0,880952102
579,1110,1.0,880952516
579,245,2.0,880951595
579,1,4.0,880951740
579,50,5.0,880951984
579,748,3.0,880951569
579,514,3.0,880952165
579,100,4.0,880952201
579,173,5.0,880951765
579,228,3.0,880951984
579,1074,3.0,880952579
579,83,5.0,880952360
579,66,4.0,880952516
579,25,4.0,880952335
579,328,3.0,880951444
579,709,5.0,880952142
579,327,3.0,880951494
579,153,4.0,880952335
579,303,3.0,880951494
579,69,2.0,880951868
579,523,3.0,880951740
579,168,4.0,880952142
579,692,4.0,880952440
579,877,1.0,880951594
579,408,3.0,880951740
579,169,4.0,880951867
781,179,5.0,879634017
781,289,3.0,879633862
781,50,5.0,879634362
781,286,1.0,879633495
781,187,5.0,879633976
781,878,1.0,879633752
781,100,5.0,879634175
781,318,3.0,879634124
781,1500,5.0,879634096
781,288,2.0,879633862
781,322,2.0,879633862
781,174,5.0,879634256
781,403,4.0,879634340
781,268,2.0,879633862
781,245,2.0,879633862
781,294,1.0,879633862
781,523,5.0,879634038
781,302,5.0,879633862
781,97,4.0,879634096
781,324,4.0,879633862
781,195,4.0,879633942
781,258,2.0,879633862
781,474,5.0,879633976
781,327,4.0,879633862
781,180,4.0,879633895
781,56,3.0,879633919
781,172,5.0,879634362
781,483,5.0,879633942
781,223,4.0,879634175
781,127,5.0,879634017
781,87,4.0,879634340
781,69,3.0,879634147
781,181,5.0,879634318
781,215,3.0,879634124
781,205,5.0,879634256
781,232,3.0,879634318
781,134,5.0,879634256
781,210,4.0,879634295
781,191,4.0,879633995
781,64,4.0,879634387
781,204,4.0,879634256
781,135,5.0,879634387
706,742,2.0,880997324
706,273,3.0,880997142
706,181,4.0,880997105
706,687,1.0,880996945
706,682,2.0,880996945
706,118,3.0,880997464
706,323,4.0,880996945
